                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.39791,                0.24692,                0.92951,                 0.9914,                 0.9833,                0.99468,                0.89721,                0.52747,                0.21755,                0.88342,               0.008515,               0.008515,               0.008515
                     93,                0.40176,                0.24908,                0.92747,                 0.9919,                0.98389,                0.99467,                0.89754,                0.52748,                0.21776,                0.88333,              0.0084985,              0.0084985,              0.0084985
                     94,                0.39856,                0.24588,                0.92756,                 0.9919,                0.98392,                0.99467,                0.89758,                0.52768,                0.21684,                0.88335,               0.008482,               0.008482,               0.008482
                     95,                0.39868,                0.24617,                0.92702,                0.99182,                0.98392,                0.99466,                0.89746,                0.52786,                0.21725,                0.88345,              0.0084655,              0.0084655,              0.0084655
                     96,                 0.3954,                0.24743,                 0.9255,                0.99173,                0.98392,                0.99465,                0.89724,                0.52801,                0.21755,                0.88344,               0.008449,               0.008449,               0.008449
                     97,                0.39528,                0.24817,                0.92679,                0.99189,                0.98381,                0.99466,                0.89662,                0.52812,                0.21913,                0.88348,              0.0084325,              0.0084325,              0.0084325
                     98,                0.39668,                0.24604,                0.92675,                0.99189,                0.98354,                0.99466,                0.89668,                0.52844,                0.22055,                0.88343,               0.008416,               0.008416,               0.008416
                     99,                0.39747,                0.24709,                0.92621,                0.99189,                0.98348,                0.99467,                0.89739,                0.52894,                 0.2212,                0.88381,              0.0083995,              0.0083995,              0.0083995
                    100,                0.39748,                0.24672,                0.92608,                0.99245,                0.98392,                0.99466,                 0.8974,                0.52909,                0.22224,                0.88371,               0.008383,               0.008383,               0.008383
                    101,                0.39283,                  0.244,                0.92451,                0.99251,                0.98388,                0.99465,                0.89747,                0.52928,                0.22215,                0.88353,              0.0083665,              0.0083665,              0.0083665
                    102,                 0.3969,                0.24661,                0.92713,                0.99157,                0.98392,                0.99465,                0.89744,                0.52917,                 0.2213,                0.88355,                0.00835,                0.00835,                0.00835
                    103,                0.39704,                0.24647,                0.92443,                 0.9919,                0.98453,                0.99465,                0.89714,                0.52924,                0.22094,                0.88341,              0.0083335,              0.0083335,              0.0083335
                    104,                0.39472,                0.24698,                0.92547,                 0.9918,                0.98454,                0.99464,                0.89732,                0.52901,                0.22104,                0.88318,               0.008317,               0.008317,               0.008317
                    105,                0.39494,                0.24521,                0.92605,                0.99174,                0.98454,                0.99466,                0.89762,                0.52921,                0.22113,                0.88323,              0.0083005,              0.0083005,              0.0083005
                    106,                0.39084,                0.24203,                0.92581,                0.99114,                0.98454,                0.99465,                0.89759,                0.52928,                0.22144,                 0.8832,               0.008284,               0.008284,               0.008284
                    107,                0.39288,                0.24357,                0.92372,                0.99116,                0.98454,                0.99464,                0.89807,                0.52922,                 0.2216,                0.88309,              0.0082675,              0.0082675,              0.0082675
                    108,                0.39034,                0.24313,                0.92452,                 0.9915,                0.98454,                0.99465,                0.89787,                0.52913,                0.22149,                0.88285,               0.008251,               0.008251,               0.008251
                    109,                0.39015,                0.24289,                0.92336,                0.99106,                0.98454,                0.99464,                0.89754,                0.52927,                0.22209,                0.88289,              0.0082345,              0.0082345,              0.0082345
                    110,                0.38837,                0.24274,                0.92414,                0.99126,                0.98454,                0.99465,                0.89772,                0.52923,                0.22236,                0.88309,               0.008218,               0.008218,               0.008218
                    111,                0.38701,                0.23957,                0.92178,                0.99128,                0.98415,                0.99465,                0.89774,                0.52962,                0.22261,                0.88345,              0.0082015,              0.0082015,              0.0082015
                    112,                0.38902,                0.24096,                0.92205,                0.99114,                0.98392,                0.99464,                0.89814,                0.52989,                0.22276,                0.88362,               0.008185,               0.008185,               0.008185
                    113,                0.38669,                0.24022,                0.92083,                0.99092,                0.98392,                0.99464,                0.89811,                0.52987,                 0.2227,                0.88354,              0.0081685,              0.0081685,              0.0081685
                    114,                0.38898,                0.23983,                0.92095,                0.99089,                0.98392,                0.99463,                0.89801,                0.53012,                0.22314,                0.88352,               0.008152,               0.008152,               0.008152
                    115,                0.38282,                0.24031,                0.91814,                0.99066,                0.98354,                0.99463,                0.89779,                0.53064,                0.22373,                0.88384,              0.0081355,              0.0081355,              0.0081355
                    116,                0.38901,                0.24072,                0.92062,                0.99066,                0.98352,                0.99463,                0.89766,                0.53041,                 0.2242,                0.88352,               0.008119,               0.008119,               0.008119
                    117,                0.38654,                0.23848,                0.91796,                0.99066,                0.98378,                0.99463,                 0.8976,                0.53068,                 0.2247,                0.88337,              0.0081025,              0.0081025,              0.0081025
                    118,                0.38821,                0.23996,                0.91926,                0.99076,                 0.9833,                0.99461,                0.89692,                0.53074,                0.22447,                0.88349,               0.008086,               0.008086,               0.008086
                    119,                0.38688,                0.23777,                0.91976,                0.99055,                 0.9833,                 0.9946,                0.89727,                0.53073,                 0.2247,                0.88335,              0.0080695,              0.0080695,              0.0080695
                    120,                0.38472,                0.23702,                0.92337,                0.99055,                 0.9833,                0.99459,                0.89811,                0.53085,                0.22511,                0.88363,               0.008053,               0.008053,               0.008053
                    121,                0.38575,                0.23979,                0.92178,                0.99066,                0.98341,                 0.9946,                 0.8976,                0.53112,                 0.2255,                0.88407,              0.0080365,              0.0080365,              0.0080365
                    122,                0.38642,                0.24017,                0.92147,                0.99066,                 0.9833,                0.99459,                0.89703,                0.53136,                0.22518,                0.88426,                0.00802,                0.00802,                0.00802
                    123,                0.38418,                0.23953,                0.91826,                0.99068,                 0.9833,                0.99459,                0.89732,                0.53135,                0.22583,                 0.8842,              0.0080035,              0.0080035,              0.0080035
                    124,                0.38218,                 0.2368,                0.92027,                0.99074,                 0.9833,                0.99456,                0.89731,                0.53156,                0.22588,                0.88441,               0.007987,               0.007987,               0.007987
                    125,                0.38161,                0.23649,                0.91934,                0.99093,                 0.9833,                0.99457,                0.89713,                0.53144,                0.22504,                0.88464,              0.0079705,              0.0079705,              0.0079705
                    126,                 0.3824,                0.23804,                0.92261,                0.99096,                 0.9833,                0.99457,                0.89739,                0.53139,                0.22503,                0.88484,               0.007954,               0.007954,               0.007954
                    127,                0.38271,                0.23917,                0.92215,                0.99092,                 0.9833,                0.99459,                0.89679,                0.53143,                0.22511,                0.88503,              0.0079375,              0.0079375,              0.0079375
                    128,                0.38002,                0.23691,                0.91971,                0.99091,                 0.9833,                0.99457,                0.89718,                0.53161,                0.22568,                0.88515,               0.007921,               0.007921,               0.007921
                    129,                0.37933,                0.23615,                0.91738,                0.99096,                 0.9833,                0.99456,                0.89649,                0.53161,                 0.2257,                0.88532,              0.0079045,              0.0079045,              0.0079045
                    130,                0.38062,                0.23568,                0.92247,                0.99099,                 0.9833,                0.99458,                 0.8962,                0.53161,                0.22509,                0.88541,               0.007888,               0.007888,               0.007888
                    131,                0.37979,                0.23763,                0.91842,                0.99128,                 0.9837,                0.99456,                0.89679,                0.53176,                0.22531,                0.88559,              0.0078715,              0.0078715,              0.0078715
                    132,                0.38061,                0.23859,                0.92385,                0.99128,                0.98377,                0.99458,                0.89694,                0.53202,                0.22567,                0.88572,               0.007855,               0.007855,               0.007855
                    133,                0.37933,                0.23746,                0.92199,                0.99052,                0.98392,                0.99458,                0.89765,                0.53216,                  0.226,                0.88601,              0.0078385,              0.0078385,              0.0078385
